Cluster,Plot,ILUA_I,SelectPlot,SoilSample,X_Start,Y_Start,ILUA_I_TRA,Zone,Province,District,CenterX,CenterY
8515.000000,1.000000,0.000000,1.000000,0.000000,434856.000000,8618007.000000,0.000000,UTM-36,Eastern,Lundazi,435101.000000,8618257.000000
8516.000000,1.000000,1.000000,1.000000,1.000000,445922.000000,8618355.000000,90.000000,UTM-36,Eastern,Lundazi,446167.000000,8618605.000000
8520.000000,1.000000,0.000000,1.000000,0.000000,489184.000000,8618079.000000,0.000000,UTM-36,Eastern,Lundazi,489429.000000,8618329.000000
8521.000000,1.000000,1.000000,1.000000,1.000000,500250.000000,8618406.000000,91.000000,UTM-36,Eastern,Lundazi,500495.000000,8618656.000000
8654.000000,1.000000,0.000000,1.000000,0.000000,423961.000000,8629039.000000,0.000000,UTM-36,Eastern,Lundazi,424206.000000,8629289.000000
8661.000000,1.000000,0.000000,1.000000,0.000000,500050.000000,8629139.000000,0.000000,UTM-36,Eastern,Lundazi,500295.000000,8629389.000000
8666.000000,1.000000,0.000000,1.000000,0.000000,554398.000000,8629088.000000,0.000000,UTM-36,Eastern,Lundazi,554643.000000,8629338.000000
8794.000000,1.000000,0.000000,1.000000,0.000000,423932.000000,8640098.000000,0.000000,UTM-36,Eastern,Lundazi,424177.000000,8640348.000000
8937.000000,1.000000,0.000000,1.000000,1.000000,456538.000000,8651223.000000,0.000000,UTM-36,Eastern,Lundazi,456783.000000,8651473.000000
8939.000000,1.000000,0.000000,1.000000,0.000000,478294.000000,8651247.000000,0.000000,UTM-36,Eastern,Lundazi,478539.000000,8651497.000000
8944.000000,1.000000,0.000000,1.000000,0.000000,532683.000000,8651237.000000,0.000000,UTM-36,Eastern,Lundazi,532928.000000,8651487.000000
9221.000000,1.000000,1.000000,1.000000,1.000000,500250.000000,8673696.000000,75.000000,UTM-36,Eastern,Lundazi,500495.000000,8673946.000000
9363.000000,1.000000,0.000000,1.000000,1.000000,521829.000000,8684421.000000,0.000000,UTM-36,Eastern,Lundazi,522074.000000,8684671.000000
9364.000000,1.000000,0.000000,1.000000,0.000000,532719.000000,8684411.000000,0.000000,UTM-36,Eastern,Lundazi,532964.000000,8684661.000000
6831.000000,1.000000,0.000000,1.000000,1.000000,391915.000000,8485153.000000,0.000000,UTM-36,Eastern,Mambwe,392160.000000,8485403.000000
6969.000000,1.000000,0.000000,1.000000,0.000000,370231.000000,8496116.000000,0.000000,UTM-36,Eastern,Mambwe,370476.000000,8496366.000000
7110.000000,1.000000,0.000000,1.000000,0.000000,381001.000000,8507228.000000,0.000000,UTM-36,Eastern,Mambwe,381246.000000,8507478.000000
7111.000000,1.000000,1.000000,1.000000,1.000000,392024.000000,8507599.000000,130.000000,UTM-36,Eastern,Mambwe,392269.000000,8507849.000000
7252.000000,1.000000,0.000000,1.000000,0.000000,402607.000000,8518376.000000,0.000000,UTM-36,Eastern,Mambwe,402852.000000,8518626.000000
7394.000000,1.000000,0.000000,1.000000,0.000000,424231.000000,8529506.000000,0.000000,UTM-36,Eastern,Mambwe,424476.000000,8529756.000000
7530.000000,1.000000,0.000000,1.000000,0.000000,380854.000000,8540410.000000,0.000000,UTM-36,Eastern,Mambwe,381099.000000,8540660.000000
